"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-08 14:30:00,37,,,43,,47,,,,,,44,42
2021-01-08 14:45:00,37,62,,,,46,,,,,,,
2021-01-08 15:30:00,38,,56,43,,50,,,,,,44,43
2021-01-08 16:30:00,38,61,,43,,55,,,,,,45,43
2021-01-08 16:45:00,38,62,54,,,56,,,,,,,
2021-01-08 17:30:00,39,,54,,79,66,,,,,,45,
2021-01-08 18:15:00,40,,,44,,67,,,,,,,
2021-01-08 19:15:00,41,68,,45,,74,,,,,,,
2021-01-08 19:45:00,40,68,,,,72,,,,,,,43
2021-01-08 20:15:00,39,67,,,,73,,,,,,,
2021-01-08 20:45:00,39,67,54,,,73,,,,,,,45
2021-01-08 21:00:00,38,,53,47,,70,,,,,,50,
2021-01-08 21:15:00,38,67,53,47,,69,,,,,,,
2021-01-08 22:15:00,38,,53,,,70,,,,,,51,
2021-01-08 23:00:00,38,,,,77,71,,,,,,52,
2021-01-09 00:00:00,42,,54,48,,72,,,,,,,48
2021-01-09 00:15:00,40,66,54,,,70,,,,,,52,49
2021-01-09 00:45:00,38,,,48,,,,,,,,,
2021-01-09 01:15:00,38,,,,,69,,,,,,,
2021-01-09 01:45:00,38,,,48,,65,,,,,,54,48
2021-01-09 02:00:00,37,65,53,48,,67,,,,,,54,48
2021-01-09 02:45:00,37,67,53,48,,71,,,,,,,
2021-01-09 03:30:00,36,,,48,,65,,,,,,,
2021-01-09 03:45:00,36,,53,,,64,,,,,,54,47
2021-01-09 04:15:00,35,65,52,48,78,65,,,,,,54,
2021-01-09 04:30:00,35,65,52,47,,64,,,,,,,47
2021-01-09 05:30:00,35,,52,47,,67,,,,,,54,
2021-01-09 06:30:00,34,66,51,,,70,,,,,,,47
2021-01-09 07:30:00,34,,51,,,61,,,,,,,46
2021-01-09 08:15:00,33,,51,35,,58,,,,,,37,35
2021-01-09 08:45:00,36,,51,39,,57,,,,,,40,37
2021-01-09 09:00:00,36,63,,,,56,,,,,,41,37
2021-01-09 09:15:00,36,62,52,40,,55,,,,,,,38
2021-01-09 10:00:00,36,,,,,54,,,,,,,
2021-01-09 11:00:00,36,61,52,,,54,,,,,,42,40
2021-01-09 11:15:00,36,60,,41,,52,,,,,,42,
2021-01-09 11:30:00,36,60,52,41,,52,,,,,,42,40
2021-01-09 11:45:00,36,60,,,,52,,,,,,,
2021-01-09 12:00:00,36,59,52,41,,51,,,,,,42,40
2021-01-09 12:15:00,36,59,52,41,,52,,,,,,42,40
2021-01-09 12:45:00,36,59,,,,50,,,,,,,
2021-01-09 13:00:00,36,58,,,,49,,,,,,42,40
2021-01-09 13:15:00,36,,40,41,,48,,,,,,41,39
2021-01-09 13:45:00,35,56,,,,46,,,,,,40,
2021-01-09 14:15:00,35,54,,,,43,,,,,,,38
2021-01-09 15:30:00,37,55,52,,69,44,,,,,,42,
2021-01-09 15:45:00,37,56,52,41,,45,,,,,,42,40
2021-01-09 16:15:00,36,57,52,41,,,,,,,,44,41
2021-01-09 16:30:00,37,58,52,41,,49,,,,,,44,40
2021-01-09 16:45:00,37,59,52,40,,50,,,,,,43,41
2021-01-09 17:00:00,37,59,52,,,51,,,,,,43,40
2021-01-09 17:30:00,37,60,51,,,51,,,,,,42,
2021-01-09 18:00:00,38,60,,41,,,,,,,,,
2021-01-09 18:15:00,38,61,,,,53,,,,,,43,41
2021-01-09 18:30:00,38,,53,43,,,,,,,,,43
2021-01-09 19:15:00,41,61,,,,54,,,,,,,
2021-01-09 20:15:00,40,,55,,,,,,,,,,
2021-01-09 20:30:00,40,61,,45,,54,,,,,,,
2021-01-09 20:45:00,30,53,,,,,,,,,,49,45
2021-01-09 21:00:00,33,57,53,46,,,,,,,,,46
2021-01-09 21:45:00,36,,,,,,,,,,,,47
2021-01-09 22:00:00,36,,53,,,,,,,,,,
2021-01-09 22:15:00,36,60,,47,,,,,,,,,
2021-01-09 22:30:00,36,,,,,,,,,,,51,47
2021-01-09 23:00:00,36,60,54,47,,54,,,,,,52,47
2021-01-09 23:30:00,36,,54,47,,54,,,,,,52,46
2021-01-10 00:00:00,36,,54,47,,54,,,,,,,
2021-01-10 00:45:00,36,,54,,,54,,,,,,52,
2021-01-10 01:15:00,36,61,53,47,,,,,,,,,46
2021-01-10 01:45:00,36,,53,,,,,,,,,,
2021-01-10 02:30:00,36,60,53,47,,54,,,,,,52,47
2021-01-10 02:45:00,36,,53,,,55,,,,,,,47
2021-01-10 03:00:00,36,61,53,47,,,,,,,,52,
2021-01-10 03:30:00,36,,,,69,54,,,,,,,
2021-01-10 04:15:00,36,,53,,,54,,,,,,,
2021-01-10 04:30:00,36,60,53,,,55,,,,,,,47
2021-01-10 05:00:00,36,60,53,,,,,,,,,53,47
2021-01-10 05:30:00,36,,53,,,,,,,,,,
2021-01-10 06:00:00,36,,53,48,,55,,,,,,53,47
2021-01-10 06:15:00,36,60,,,,,,,,,,,
2021-01-10 07:15:00,36,,,,,55,,,,,,,
2021-01-10 08:00:00,36,,53,48,,,,,,,,,
2021-01-10 08:15:00,36,60,52,,,,,,,,,53,46
2021-01-10 08:30:00,36,60,53,48,,,,,,,,,44
2021-01-10 08:45:00,36,60,53,45,,53,,,,,,49,44
2021-01-10 09:15:00,37,58,53,,68,,,,,,,,44
2021-01-10 09:30:00,37,,49,31,,,,,,,,32,28
2021-01-10 10:00:00,35,58,51,37,,,,,,,,38,35
2021-01-10 10:15:00,35,58,51,,,,,,,,,41,38
2021-01-10 11:00:00,39,,53,,,,,,,,,42,
2021-01-10 11:30:00,39,,53,,,,,,,,,45,40
2021-01-10 12:00:00,40,57,,,,51,,,,,,,
2021-01-10 12:15:00,40,56,,44,,50,,,,,,,40
2021-01-10 12:45:00,40,,53,45,,,,,,,,46,
2021-01-10 13:00:00,39,56,,,,,,,,,,,
2021-01-10 13:45:00,34,68,,45,,50,,,,,,,
2021-01-10 14:00:00,26,47,,,,,,,,,,,36
2021-01-10 14:30:00,32,51,50,,,49,,,,,,,
2021-01-10 14:45:00,34,53,,,,50,,,,,,48,38
2021-01-10 15:00:00,38,54,,46,,49,,,,,,47,38
2021-01-10 15:15:00,38,54,51,,,,,,,,,46,39
2021-01-10 15:45:00,36,,,,,49,,,,,,47,
2021-01-10 16:00:00,37,54,52,43,,,,,,,,,42
2021-01-10 16:45:00,38,56,52,,,50,,,,,,,42
2021-01-10 17:30:00,40,64,53,,,57,,,,,,46,42
2021-01-10 17:45:00,40,63,,,,58,,,,,,,43
2021-01-10 18:15:00,40,,,,,59,,,,,,,
2021-01-10 18:45:00,41,64,,47,,61,,,,,,,45
2021-01-10 19:00:00,46,,54,47,,,,,,,,48,
2021-01-10 19:30:00,42,64,,,,,,,,,,,
2021-01-10 20:15:00,40,,,,,63,,,,,,,
2021-01-10 20:30:00,40,65,,,,65,,,,,,,
2021-01-10 21:30:00,39,66,,49,,68,,,,,,,47
2021-01-10 22:15:00,38,64,,,,66,,,,,,,
2021-01-10 22:30:00,38,63,,49,,63,,,,,,,48
2021-01-10 23:15:00,38,59,,49,,56,,,,,,,
2021-01-10 23:30:00,38,57,,49,,54,,,,,,54,47
2021-01-04 00:00:00,,76,,52,,,,85,,,,57,
2021-01-04 01:15:00,,75,59,,,,43,85,56,48,55,,
2021-01-04 02:00:00,,77,58,,,89,43,85,56,49,55,,
2021-01-04 02:45:00,,77,59,52,,,43,85,56,48,55,57,
2021-01-04 03:30:00,,78,,,,,43,85,56,48,55,57,51
2021-01-04 04:45:00,,78,58,52,,,43,86,55,48,55,,51
2021-01-04 05:30:00,,77,58,,,91,43,85,55,48,55,57,51
2021-01-04 06:30:00,,78,58,,,,43,85,55,48,55,57,51
2021-01-04 06:45:00,,78,,,,90,43,85,55,48,55,,
2021-01-04 07:30:00,,77,51,39,,91,43,85,54,47,52,38,36
2021-01-04 08:30:00,,74,,44,,88,42,83,53,45,50,,
2021-01-04 09:00:00,,72,,45,,85,43,81,53,45,50,,
2021-01-04 09:30:00,,71,,46,,84,43,81,53,45,50,,
2021-01-04 10:15:00,,68,55,,,79,43,79,53,45,50,49,
2021-01-04 14:00:00,,68,,,,68,44,73,54,47,52,50,
2021-01-04 14:15:00,,68,57,51,,,44,73,54,47,52,,
2021-01-04 14:45:00,,67,57,,,68,44,72,54,47,52,50,48
2021-01-04 15:45:00,,67,58,,,,44,71,55,47,52,51,
2021-01-04 16:45:00,,67,,49,,67,43,72,54,46,52,51,
2021-01-04 17:30:00,,68,57,,,68,44,72,54,46,51,50,
2021-01-04 18:00:00,,67,57,48,,,44,72,54,46,51,,
2021-01-04 18:30:00,,68,,,,,44,73,55,46,51,53,
